,date,username,operator,binding_energy,rbs,repressors,IPTG,mean_YFP,mean_YFP_bgcorr,fold_change
0,20160712,mrazomej,O1,-15.3,auto,0,0,4146.312183362765,0.0,0.0
1,20160712,mrazomej,O1,-15.3,delta,0,0,18894.297430559833,14747.985247197068,1.0
2,20160712,mrazomej,O1,-15.3,RBS1L,870,0,4503.154631436884,356.8424480741196,0.024196013359990266
3,20160712,mrazomej,O1,-15.3,RBS1,610,0,4150.365180208674,4.052996845909547,0.000274816985369567
4,20160712,mrazomej,O1,-15.3,RBS1027,130,0,4049.08364022287,-97.22854313989455,-0.006592666151356054
5,20160712,mrazomej,O1,-15.3,RBS446,62,0,4042.836022912188,-103.47616045057657,-0.00701629129105908
6,20160712,mrazomej,O1,-15.3,RBS1147,30,0,4330.196430038331,183.88424667556592,0.012468431693780958
7,20160712,mrazomej,O1,-15.3,HG104,11,0,4919.833255910611,773.5210725478464,0.052449270838188435
8,20160712,mrazomej,O2,-13.9,auto,0,0,3885.03212386215,0.0,0.0
9,20160712,mrazomej,O2,-13.9,delta,0,0,30126.425954809456,26241.393830947305,1.0
10,20160712,mrazomej,O2,-13.9,RBS1L,870,0,4093.254842692261,208.2227188301108,0.00793489553838208
11,20160712,mrazomej,O2,-13.9,RBS1,610,0,4454.775773375261,569.7436495131114,0.021711638230176432
12,20160712,mrazomej,O2,-13.9,RBS1027,130,0,4390.17248919662,505.1403653344696,0.01924975359878718
13,20160712,mrazomej,O2,-13.9,RBS446,62,0,4685.659136963243,800.6270131010933,0.030510079542988625
14,20160712,mrazomej,O2,-13.9,RBS1147,30,0,5343.5200069329985,1458.4878830708485,0.05557966518344036
15,20160712,mrazomej,O2,-13.9,HG104,11,0,9193.234056064584,5308.201932202434,0.20228353594321288
16,20160712,mrazomej,O3,-9.7,auto,0,0,3850.35890375179,0.0,0.0
17,20160712,mrazomej,O3,-9.7,delta,0,0,62020.511198494896,58170.15229474311,1.0
18,20160712,mrazomej,O3,-9.7,RBS1L,870,0,11910.893484502945,8060.534580751155,0.138568222065315
19,20160712,mrazomej,O3,-9.7,RBS1,610,0,17253.761333853723,13403.402430101933,0.23041717962483677
20,20160712,mrazomej,O3,-9.7,RBS1027,130,0,32749.788123272545,28899.429219520756,0.4968085535188194
21,20160712,mrazomej,O3,-9.7,RBS446,62,0,36668.4963024093,32818.13739865751,0.5641748577925473
22,20160712,mrazomej,O3,-9.7,RBS1147,30,0,46151.77378806837,42301.41488431658,0.7272013776064912
23,20160712,mrazomej,O3,-9.7,HG104,11,0,55892.321230642534,52041.962326890745,0.8946506115919836
24,20160712,mrazomej,Oid,-17.0,auto,0,0,3929.5960706038923,0.0,0.0
25,20160712,mrazomej,Oid,-17.0,delta,0,0,29537.61603839544,25608.019967791548,1.0
26,20160712,mrazomej,Oid,-17.0,RBS1L,870,0,4178.408860148753,248.8127895448606,0.009716205698753928
27,20160712,mrazomej,Oid,-17.0,RBS1,610,0,4484.7929551644265,555.1968845605343,0.021680586209274766
28,20160712,mrazomej,Oid,-17.0,RBS1027,130,0,4180.06365348613,250.46758288223737,0.009780825819304367
29,20160712,mrazomej,Oid,-17.0,RBS446,62,0,4248.675779543427,319.0797089395346,0.012460147615507044
30,20160712,mrazomej,Oid,-17.0,RBS1147,30,0,4109.947297498415,180.35122689452237,0.0070427634436929865
31,20160712,mrazomej,Oid,-17.0,HG104,11,0,4274.445529721474,344.8494591175813,0.013466463223291581
