date,username,operator,binding_energy,rbs,repressors,IPTG,mean_YFP,mean_YFP_bgcorr,fold_change
20160712,mrazomej,O1,-15.3,auto,0,0,3722.8612497823965,0.0,0.0
20160712,mrazomej,O1,-15.3,delta,0,0,17896.47853274323,14173.617282960833,1.0
20160712,mrazomej,O1,-15.3,RBS1L,870,0,3886.4489870501866,163.5877372677901,0.011541706961740188
20160712,mrazomej,O1,-15.3,RBS1,610,0,3752.5368580786762,29.675608296279734,0.002093721574657939
20160712,mrazomej,O1,-15.3,RBS1027,130,0,3669.257075997009,-53.6041737853875,-0.0037819684781406574
20160712,mrazomej,O1,-15.3,RBS446,62,0,3670.1159175286925,-52.745332253703964,-0.0037213740995471266
20160712,mrazomej,O1,-15.3,RBS1147,30,0,3897.3286344219905,174.467384639594,0.012309305462151452
20160712,mrazomej,O1,-15.3,HG104,11,0,4505.645047573222,782.7837977908252,0.055228230180299015
20160712,mrazomej,O2,-13.9,auto,0,0,3463.3727730673263,0.0,0.0
20160712,mrazomej,O2,-13.9,delta,0,0,28541.87271552042,25078.499942453094,1.0
20160712,mrazomej,O2,-13.9,RBS1L,870,0,3728.074180584373,264.70140751704685,0.010554913895346591
20160712,mrazomej,O2,-13.9,RBS1,610,0,3975.9019927860263,512.5292197187,0.020436996666259383
20160712,mrazomej,O2,-13.9,RBS1027,130,0,3982.8152731657856,519.4425000984593,0.020712662292019415
20160712,mrazomej,O2,-13.9,RBS446,62,0,4216.523691660123,753.1509185927971,0.03003173715816459
20160712,mrazomej,O2,-13.9,RBS1147,30,0,4829.1229363027705,1365.7501632354442,0.054459005377889086
20160712,mrazomej,O2,-13.9,HG104,11,0,8595.402277120558,5132.029504053232,0.20463861538088607
20160712,mrazomej,O3,-9.7,auto,0,0,3442.607007051851,0.0,0.0
20160712,mrazomej,O3,-9.7,delta,0,0,59836.920187196665,56394.31318014482,1.0
20160712,mrazomej,O3,-9.7,RBS1L,870,0,10919.325069101753,7476.718062049902,0.13257929107437535
20160712,mrazomej,O3,-9.7,RBS1,610,0,16322.010462508926,12879.403455457075,0.22838124500808046
20160712,mrazomej,O3,-9.7,RBS1027,130,0,31376.03966647687,27933.43265942502,0.4953235722579872
20160712,mrazomej,O3,-9.7,RBS446,62,0,35078.89519631766,31636.288189265808,0.5609836596148889
20160712,mrazomej,O3,-9.7,RBS1147,30,0,44348.4376257939,40905.83061874205,0.7253538222563917
20160712,mrazomej,O3,-9.7,HG104,11,0,53951.67655206719,50509.06954501534,0.8956411860832532
20160712,mrazomej,Oid,-17.0,auto,0,0,3613.272930960429,0.0,0.0
20160712,mrazomej,Oid,-17.0,delta,0,0,28436.915190769745,24823.642259809316,1.0
20160712,mrazomej,Oid,-17.0,RBS1L,870,0,3667.4713543255516,54.19842336512238,0.002183338883064403
20160712,mrazomej,Oid,-17.0,RBS1,610,0,3787.254803794266,173.98187283383686,0.0070087165699902945
20160712,mrazomej,Oid,-17.0,RBS1027,130,0,3740.6885448833013,127.41561392287213,0.00513283315112723
20160712,mrazomej,Oid,-17.0,RBS446,62,0,3801.8985804600743,188.62564949964508,0.007598629061982543
20160712,mrazomej,Oid,-17.0,RBS1147,30,0,3832.7003647638917,219.42743380346246,0.008839453594556757
20160712,mrazomej,Oid,-17.0,HG104,11,0,3912.4833024326176,299.2103714721884,0.012053443581751278
