,date,IPTG_uM,fold_change
0,20161018,0.0,-0.448234870885
1,20161018,1e-07,0.0103136529784
2,20161018,5e-06,0.0468559410034
3,20161018,1e-05,0.0973231646655
4,20161018,2.5e-05,0.215507233331
5,20161018,5e-05,0.4611805375
6,20161018,7.5e-05,0.508768285689
7,20161018,0.0001,0.519382619758
8,20161018,0.00025,0.748691994481
9,20161018,0.0005,0.806758176706
10,20161018,0.001,0.922695032905
11,20161018,0.005,1.04316714678
12,20161019,0.0,0.00792646491057
13,20161019,1e-07,0.0176605077707
14,20161019,5e-06,0.039962119968
15,20161019,1e-05,0.0841546291257
16,20161019,2.5e-05,0.198938624885
17,20161019,5e-05,0.356214051372
18,20161019,7.5e-05,0.513884226785
19,20161019,0.0001,0.615854074846
20,20161019,0.00025,0.87770308767
21,20161019,0.0005,0.988800695061
22,20161019,0.001,0.923910647637
23,20161019,0.005,0.881190862647
24,20161020,0.0,0.0109363245279
25,20161020,1e-07,0.00873773709535
26,20161020,5e-06,0.0228067904333
27,20161020,1e-05,0.0885619186981
28,20161020,2.5e-05,0.144708565988
29,20161020,5e-05,0.392090753284
30,20161020,7.5e-05,0.526804226449
31,20161020,0.0001,0.71362562743
32,20161020,0.00025,0.751185438547
33,20161020,0.0005,1.03218133528
34,20161020,0.001,0.893306184883
35,20161020,0.005,0.832315663531
